case_id,source,frame,corruption_level,repeat,method,mae,psnr_db,ssim,edge_correlation,foreground_dice_proxy,hallucinated_edge_fraction_proxy,deleted_edge_fraction_proxy,glcm_entropy_ccc,glcm_contrast_ccc,glcm_homogeneity_ccc,glcm_energy_ccc
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,0,residual_cnn,0.03334042429924011,24.150229937129602,0.4123230737870266,0.9531427871286865,0.9968053817436807,0.8240283003988194,0.005475753871230644,0.42202489592530795,0.8686031202470827,0.09744962271379518,0.6383216053612629
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,1,noisy,0.03360183537006378,24.021727944538178,0.41428924718355803,0.9534423750115519,0.9973636243560956,0.8246469348598748,0.006087000814995925,0.42569308760459634,0.8602678797797796,0.0973484877634757,0.643242449170418
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,1,gaussian,0.031731024384498596,23.787595337288497,0.5502741374562656,0.9403929597238275,0.9701317655765,0.7480612564624785,0.017038508557457213,0.6055302939090208,0.39073194324727567,0.21541503362609507,0.7968810934080337
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,1,tv,0.02400359883904457,29.281604891943154,0.680833881787919,0.9963710933864688,0.9824408014571949,0.585962709340186,0.2777862673186634,0.9128127586177754,0.8751280217274063,0.7458963666523063,0.9779064916628922
PUBLIC_CT_01,eCT_Supplemental.dcm,0,severe,1,residual_cnn,0.03333576023578644,24.161556580043925,0.4101946157999093,0.9543124608975714,0.9969422513268728,0.8244896857840558,0.006036063569682152,0.4217387872439823,0.8693676859003654,0.09735529750396023,0.6373182667874828
PUBLIC_CT_01,eCT_Supplemental.dcm,1,mild,0,noisy,0.02509109117090702,26.391443649716074,0.6027410871499419,0.9598271651824835,0.9999246720544083,0.786096081145402,0.005519521811013608,0.44557019400602516,0.8960210245576388,0.09580047401735092,0.6454132279520707
PUBLIC_CT_01,eCT_Supplemental.dcm,1,mild,0,gaussian,0.02111681178212166,25.64835766576365,0.7410609104244748,0.9416422785063565,0.9784554472126866,0.6486124645943953,0.018644283352410022,0.6429226664003483,0.4188239267954441,0.22470526682710956,0.7632380413411313
PUBLIC_CT_01,eCT_Supplemental.dcm,1,mild,0,tv,0.014169098809361458,32.73644639310407,0.8593594758859837,0.9976442659687939,0.9885842562744034,0.5337957265913413,0.46999872822078087,0.9430211991144295,0.912529920035757,0.8783080232966985,0.9339468199462851
PUBLIC_CT_01,eCT_Supplemental.dcm,1,mild,0,residual_cnn,0.024878699332475662,26.548745056441128,0.5996103481212487,0.9606634574655596,0.9998009436347692,0.7864663872663392,0.00600279791428208,0.4460600174343283,0.9021563493543989,0.096234522651127,0.6449710692913417
PUBLIC_CT_01,eCT_Supplemental.dcm,1,mild,1,noisy,0.025090791285037994,26.40957414419009,0.6011612172597532,0.9597209165064711,0.9998762529389927,0.7872797101844033,0.006791301030141168,0.4460637956948227,0.8935862331353475,0.09561429518250181,0.6455709040764875
